City,Country,Cloudiness,Humidity,Latitude,Longitude,Temperature,Speed
longyearbyen,SJ,75,73,78.22,15.64,26.6,19.46
asau,RO,0,59,46.43,26.4,37.4,14.99
hartselle,US,1,86,34.44,-86.94,32,3.36
komsomolskiy,UZ,40,80,40.43,71.72,37.4,3.36
kapaa,US,90,88,22.08,-159.32,71.6,17.22
cape town,ZA,36,94,-33.93,18.42,70.15,15.14
damme,DE,0,74,52.52,8.2,30.2,4.7
taolanaro,MG,75,83,-25.03,47,75.2,13.87
georgetown,GY,75,94,6.8,-58.16,75.2,4.7
rikitea,PF,0,100,-23.12,-134.97,75.59,7.76
karaul,IN,0,85,26.5,77.02,70.15,4.18
punta arenas,CL,0,60,-53.15,-70.92,41,4.7
kendari,ID,24,79,-3.94,122.5,84.14,6.53
aykhal,RU,0,0,66,111.5,-43.08,2.84
meyungs,PW,90,89,7.34,134.47,86,12.75
ushuaia,AR,75,80,-54.8,-68.3,39.2,6.93
biak,ID,0,86,-1.88,136.23,86.48,2.73
bolungarvik,IS,76,100,66.08,-23.12,39.19,18.05
temple,US,1,80,31.1,-97.34,35.6,3.85
narsaq,GL,0,60,60.92,-46.05,6.8,5.82
tuktoyaktuk,CA,75,85,69.45,-133.04,17.6,27.51
sisimiut,GL,0,100,66.94,-53.67,-10.36,0.6
cabedelo,BR,20,83,-6.98,-34.83,75.2,4.7
luderitz,NA,8,87,-26.65,15.16,60.8,6.93
illoqqortoormiut,IT,75,87,41.9,12.49,42.8,13.87
eirunepe,BR,68,88,-6.66,-69.87,74.11,2.06
qaanaaq,GL,64,82,77.48,-69.36,-5.59,6.53
puerto escondido,MX,0,100,15.85,-97.07,82.03,7.31
belogradcik,BG,68,100,43.63,22.68,27.76,3.96
quatre cocos,MU,40,69,-20.21,57.76,82.4,8.05
palauig,PH,20,68,15.44,119.9,85.72,1.16
praya,ID,40,66,-8.71,116.27,89.6,10.29
sechura,PE,56,85,-5.56,-80.82,69.61,7.65
atuona,PF,92,100,-9.8,-139.03,80.14,11.68
port hedland,AU,0,51,-20.32,118.57,102.2,17.22
mys shmidta,MY,75,62,3.14,101.69,86,4.7
la cruz,MX,0,86,23.92,-106.9,59.21,2.17
bredasdorp,ZA,68,77,-34.53,20.04,68,3.36
vaini,TO,75,88,-21.2,-175.2,80.6,8.05
bathsheba,BB,75,78,13.22,-59.52,78.8,16.11
avarua,CK,75,74,-21.21,-159.77,80.6,9.17
chapais,CA,90,77,49.78,-74.85,6.8,12.75
juneau,US,90,92,58.3,-134.42,26.6,6.98
busselton,AU,0,88,-33.65,115.33,72.04,16.26
palana,RU,88,93,59.12,159.97,12.23,11.9
tromso,NO,0,66,69.65,18.96,14,20.8
